ENGLISH SENTENCE,GOLD-STANDARD CODE-MIXED SENTENCE
The medicine was found to be effective against tylenchorhynchus worms.,Medicine ko tylenchorhynchus worms ke khilaaf effective paya gaya tha.
The graves of Shahjahan and Mumtaz.,Shahjahan aur Mumtaz Mahal ke graves.
"And yet, but yet, man is rebellious.","And phir bhi, but phir bhi, man rebellious hai."
"Unfortunately, no agreement or settlement was possible.",Durbhagya se koi agreement ya settlement possible nahi tha.
The work proceeded with great vigour throughout the first year.,Pahale saal bhar work bahut vigour se chala.
Staff is necessary for any institute.,Kisi bhi institute ke liye staff necessary hai.
But rather worship only Allah and be among the thankful.,Balki keval Allah ki hi worship karo aur thankful logon mein se ek bano.
Jawaharlal Nehru had no answer to this.,Jawaharlal Nehru ke paas iska koi answer nahi tha.
It's the Hadean eon of Earth.,Ye Earth ka Hadean eon hai.
But the Guru dismissed him also with contempt.,Parantu Guru ne use bhi contempt ke saath dismiss kar diya.
5 times 8 is 40.,5 times 8 hai 40.
Complex arrangements of machines.,Machino ki complex arrangements.
"No. 5/2/2011 Ralbal Service April 29, 2011.","No. 5/2/2011 Ralbal Seva April 29, 2011."
Suit upon Quantum Meruit.,Quantum Meruit par mukadma.
Yearly progress has been recorded in the progress register.,Progress register mein saalana progress darj ki gayi hai.
Permission to be absent from duty.,Duty se absent rahane ki permission.
than the passenger toll of the Titanic Titanic.,Titanic Titanic ki yaatri toll se.
1 is not a folder.,1 folder nahi hai.
Worship Allah and fear Him and obey me.,Allah ki worship karo aur usse daro aur mujhe obey karo.
"Bhagat Singh, however, was not supportive of severe violence.","Bhagat Singh, however, severe hinsa ke samarthak nahi the."
"Inspired by Ramayana, Mythilisaran Gupta wrote Panchavati and Saket.",Ramayana se inspire hokar Mythilisaran Gupta ne Panchvati aur Saket likhee.
Select the line to invert.,Palatne ke liye line select karen.
"Not supported: src is file, dst is dir.","Not supported: src file hai, dst dir hai."
the chains on Hindi language and literature.,Hindi language aur literature par janjeeren.
Quality Process Improvement and Re-engineering.,Quality Process Improvement aur re-engineering.
Recuperation refers to regain its profit.,Recuperation se taatparya uske profit ko punah praapt karne se hai.
Couldn't save attachments.,Attachments save nahi kar saka.
Many factors have gone towards it.,Kayi factors iski or badhe hain.
They must be waiting for me with open beaks.,Ve apni chonchen khole mera wait kar rahe honge.
Error seeking to offset lld.,lld ko offset karne ki koshish mein error.
My son made Chameleon water his fields with little sticks.,Mere son ne Chameleon se chhote sticks ke saath apni kheto ko water karvaya.
Regular refers to usual or normal things.,Regular ka taatparya usual or normal cheezon se hai.
they put it back into the market.,Unhone ise market mein vapas daal diya.
Accumulation of blood in the pleural cavity of the lung.,Phephade ki pleural cavity mein blood ka sanchay.
the detector will actually activate two out of three times.,"Asal mein, detector teen mein se do times activate hoga."
Any biological species that allows assessing of environmental condition.,Koi bhi biological species jo environmental sthiti ka mulyaankan karne ki anumati deti ho.
Finance account is a government process.,Finance khaata ek government prakriya hai.
Use via nick instead of x267A x267A.,x267A x267A ke bajaay nik ke maadhyam se upayog karen
On the shortest path.,Shortest path par.
This integral would be easy.,Ye integral aasaan hoga.
Could not create socket 1.,socket 1 create nahi kar saka.
Deposit Rs. 1000 as primary deposit.,Primary deposit ke roop mein Rs. 1000 jama karen.
The number of cine-goers in the country is very large.,Country mein cine-goers ki sankhya bahut badi hai.
Something that has been quoted earlier also.,Something jo pehle bhi quote kiya jaa chuka hai.
just left with yards.,Sirf yards ke saath left.
The channels of communications have never completely closed.,Communications ke channels kabhi bhi poori tarah se band nahi hue hain.
Shramik is the backbone of our economy.,Shramik hamaari arthvyavastha ki backbone hai.
YTH means a story with a veiled meaning.,YTH ka arth hai veiled meaning vaali kahaani.
electrolytes that we want.,Electrolytes jo hum chahate hain.
a in section 124 of the Income Tax Act.,Income Tax Act ke section 124 mein a
I have received equally voluminous correspondence from Swamiji and Shroff.,Mujhe Swamiji tatha Shroff se equally vishaal correspondence mila hai.
Strong and durable not easily broken or cut.,"Majboot and durable, aasani se tootata ya katata nahi hai."
Rather you are surprised whereas they keep mocking.,Balki tum to surprised ho jabki ve mock karte rehte hain.
Pythons are among the largest snakes in the world.,Pythons duniya ke sabse bade snakes mein se hain.
The quality of the faculty is critical,faculty ki quality atyant mahatvapoorn hai
Now keep yourselves apart you sinners upon this day,Now keep apne aap ko alag you sinners upon iss din
Raja Yoga earned for Manilal another distinction also,Raja Yoga ne Manilal ke liye another distinction kamaya
Position and size of the export assistant window,Export assistant window ki position aur size
So we have to have a change in consciousness,Toh hamein apni consciousness mei change karna hi hoga
However unlike them Amulya has no conflict with the village,However unlike them Amulya ka gaanv ke saath koi conflict nahi hai
You should allow time for this to happen,aapko ise hone ke liye time dena chahiye
They ask when is the Day of Judgement,woh poochte hain Day of Judgement kab hai
Show grand total for either columns or rows,dikhaye ya toh columns ya panktiyon ke liye mahayog
Depreciating yen once again was a factor favouring the Japanese,Yen ka moolyahras ek baar phir was a factor favouring the Japanese
The ultimate truth is omnipotent and omniscient,ultimate truth sarvashaktiman aur sarvagya hai
But the demands of the present are imperious,lekin present ki demands imperious hain
1 won to nil Congratulations,1 nil se jeete badhaiyaan
They and their spouses in shades reclining on couches,woh and unki spouses shades mein couches par recline karte hue
The sportsman is Sinistromanual,Vah sportsman hai Sinistromanual
And We created pairs of everything that you may contemplate,And hamne everything ki pairs create ki that you may contemplate
Section 280A Income Tax Act 1961 2018,Section 280A Income Tax adhiniyam 1961 2018
You should have kept it secret,tumhe ise secret rakhna chahiye tha
Ambedkar remarked in the Constituent Assembly,Ambedkar ne samvidhan assembly mein remark kiya
HOLD PHONE AWAY FROM YOUR BODY,Phone ko apne sharir se door hold karo
An act of triggering any action,Kisi bhi action ko trigger karni ki kriya
"Pneumonia in Delhi summers, how did you even manage that !","Delhi ki garmi mein pneumonia , how did you even manage that !"
Looks very cool from the outside,baahar se bahut cool lagta hai
"Anyway, you will get good hotels.",wese ache hotels mill jayege
"Maternal grandfather lives in Delhi, and he loves Hill stations.","nana delhi mein rehte hain , and he loves hill stations ."
They suggested to go here,He suggested idhar chalte hain
Ask the person who did it last semester,last semester jisne kiya tha usse pucho
He calls people from outside for talks.,wo bhar se talks ke liye persons bulata hain
No one looks at interests,are interest koi nahi dekhta
but we will do something about the learning,but we will do something about the seekhna
Needed information about lens,are lens ke baare me information chaiye tha
You will only manage the club from next year,next year se tum hi to sambhalogi club
All the edits that have been done so far have already been uploaded.,"abhi tak jitni edit ki hain , they are uploaded already"
But I think some people are going for a movie,but i think kuch log movie ke liye jaa rahein hain
And have to submit tomorrow night,and kal raat ko submit karni hai
Something will happen in the campus tonight also,aaj raat to campus mein bhi kuch kuchh hoga
This time the college is also too crowded,is baar crowd bhi kafi hai college me
We are also going to do a lot of makeshift work,hum log bhi epic jugaad hi karne waale hain
You will also have a deadline pending ???,tumhari to khud deadline pending padi hongi ???
have done a very basic sorting,bahut basic sorting ki hai
Messed up my studies in the end,end mein to bahut kooda kara padhai ka
but considering the fact that I have also done coding,but considering ki maine coding bhi ki hui thi
My end semester go the worst,mere to end semester sab se kharab jate hai 
Though i hear there is going to be a lot of work to do now.,though i hear ab bahut kaam hi hoga karne ko
So finally the camera got repaired ???,so finally camera thik ho gaya ???
I literally don't want to make myself an open book !,literally open book nahi banana hai khud ko !
My one friend is failing for sure.,mera el friend to pakka fail hi ho raha hai .
The complaint has reached the warden.,warden ko complain ho gayi !
Our wingmates got stuck in the birth celebrations yesterday.,birth celebration me kal fas gaye humari wing wale
How is the second year going?,second year kaisa chal raha hai ?
Also have to learn how to take care of the camera.,ye bhi seekhna hai ki camera ka dhyan kaise rakhte hain
Got to learn how to click awesome pictures.,"seekhna to hai , how to actually click awesomely ."
One gets proper food at their house.,unke ghar par proper khaana milta hai
Yes i remember how she would go on and on about avocado.,haan yaad hai avocado avocado karti rehti thi
Passion Fruit tastes weird.,Passion fruit ajeeb taste karta hai .
I got to know about you when i pinged him to congratulate him.,usko congratualte karne ke liye ping kara toh tera pata chala .
Please get photos clicked.,Photos khichwa liyo please .
I am surprised i did not tell you.,I am surprised maine bataya nahi
We had to make cartoons for bonus points in my today's humanities exam.,aaj mere humanities ke paper mein bonus points ke liye cartoon banana tha
Hope that people there don't get to know about your violent streak.,waahan waalon ko teri violent streak ka pata na chal jaye .
Are you sitting for placements too?,tu placements ke liye bhi beth rahi hai kya ?
How are the applications coming around madam?,Applications kaise chal rahein madam ?
To be honest you can get it many other stores.,"aur bahut stores pe mil jayega , toh be honest ."
Any local stores where you know its available.,local store jahan pe tujhe pata milengi
When and where do you want to have lunch?,acha lunch kab aur kahan karna ?
You will get more variety there,wahaan zyada variety mil jayegi tujhe
There are so many shops at the airport!,Airport pe itni dukaanein hoti hain !
I'll ask my sister if they're cheaper than the local stores .,I'll ask didi if they're cheaper than local stores .
I think I got better deals at the airport.,I think mujhe airport pe better deals mili thi .
And then I will go and do my work.,And then kaam karoongi jaakar
Please call whoever you are supposed to call.,call kisko karni hai kar liyo please
He pinged you too.,usne tereko bhi ping kiya tha .
You did not answer then!,tune reply hi nahi kiya tab !
Otherwise only one person would drive the boat and pay double.,"varna ek akele boat chalayega , aur double pay karega"
We would have to find out the timings.,bhai pata toh karna hoga timings kya hain
It came on our mailing list.,humari mailing list pe aaya tha
"And by the way, you are telling me today when the registration has closed.",aur waise tu aaj bata rahi hai mujhe jab registration band ho chuka hoga
I also registered.,maine bhi register kiya tha
What was the problem if the bus went?,Bus chalegi toh kya dikkat thi ?
"Never mind, I am watching it live.",koi na live dekh rahi hun main
"Tell me whenever the decision is made, I will come over to the house.","tell me jab decide ho , main ghar pe aa jaungi"
My weekend is probably going to get used up in the lab.,mera toh shayad weekend hi lab mein niklega
"Go if you want, but buy the tickets for sure.","And jaana hai toh chale jao , but ticket zaroor khareed lena ."
But if you go to the statue then its going to take the entire day.,But statue jaoge toh pura din lag jayega .
Fireworks are taking place today in Boston,and aaj fireworks ho rahe hain boston mein
I was going to write if you know what i mean in brackets.,if you know what I mean brackets mein likhne wali thi
Tell them that you are sick.,bol de ki teri tabiyat is kharab
"I don't know, tell me quick, my message is showing seen status.",mereko nahi pata jaldi bol mera seen ho gya msg
We will buy tickets earlier.,hum log tickets pehle ki le lenge
Literally got cleaned in 8 minutes.,Literally 8 minute mein saaf ho gaya .
I don't know but I was feeling like going to the museum.,pata nahi museum jane ka mann tha
I did it but most probably they won't be free.,kar diya par most probably nhi free honge
I'll do medical insurance's work quickly.,main jaldi se medical insurance ka kaam kar leti hoon
Once my stomach gets better I am gonna treat myself to something awesome.,pet theek ho jaye then I will treat myself to something awesome
"Man, I have to make a game in the workshop today.",yaar aaj mujhe game banana hai workshop mein
Sorry got time to see the phone now.,Sorry abhi phone dekhne ka tima mila
"I just left, I am going out right now .","abhi nikli hoon , I am going out right now ."
We will plan something convenient.,kuch convenient plan kar lenge
There are a lot of tantrums of piracy here,piracy ke zyaada nakhre hote hain na yahan pe
Right now she is with me but she will get back in a while.,"She is with me abhi , thodi der mein she will get back ."
"Listen , just check with me before you go to meet sister.","sunn , just check with me before you go to meet didi ."
Take it from sister after half an hour.,Half hour ke baad didi se le lena
He said lets do it together today.,He had said aaj saath karte hain
And here all of them eat lunch early.,And yahaan sab lunch jaldi karti hain
I have meeting at one today.,yaar meri ek baje meeting hai .
I am not sure wether they will accept easily for 7 people.,I doubt ki aaram se manenge wo 7 logo ke liye
"We probably wouldn't have done it, if you wouldn't have cheered like that.",tu aise cheer nahi karti to shayad nahi karte .
I guess it should not be a problem.,problem nahi honi chahiye I guess
"Yes, but I am thinking wether we will leave on time or not.",haan but I am thinking ki hum time pe nikal lenge ya nahi
Otherwise uneccesarily his office time will get wasted.,varna faatlu mein uska office time udega
Expected arrival depends on God only.,Expected arrival toh bhagwaan bharose .
"Mine is pretty good , i have put a hundred things on it.","meri waali is pretty good , i have put a hundred things on it"
Now I am also going to get one for myself soon .,bas phir toh i am also going to get one for myself soon .
I honestly have no idea what to do.,i honestly have no idea ki kya karna hai
Chill There is no need for so much explanation.,itta explanation ki zarurat nahi hai chill hai
You had removed the bag when I got into the bus.,"When I got into the bus , tune bag hataya tha"
Make your slow typing photo public.,oye apni slow typing wali photo ko public bana de .
I am unpacking now.,ab unpack kar rahi hoon
Will call you when I reach the hostel.,tereko call karti hoon hostel pahunchkar
And which football team do you support?,and tu konsi footbball team ko support karti hai ?
Who Has the Plastic Bags,plastic bag kiske paas hai
We were thinking about getting it made in the campus one.,campus waale mein soch rhe the banwane ka
And I am not singing in the memory of my roommate.,and roommate ki yaad mein nahi gaa raha mein
What are you doing about the signature?,signature ka kya kar rahe ho ?
I have played the sky full of stars in this video.,maine sky full of stars bajaya hai is video mai
This is a weird sample.,ajeeb hi sample hai
"Okay, play it on my guitar..","achha , mere guitar pe baja liyo"
What are you doing with your guitar?,kya kar raha hai apne guitar ke saath !
We try eating at the office so that we don't have to eat at home .,We try eating at office because otherwise ghar pe khaana thodi hai .
It will come I guess.,aa jayegi I guess .
I think you have told about it,I think aapne uske baare mein bataya tha
She also uses hike a lot,wo bhi kafi hike karti hai
How is your leg?,kaisa hai tumhara leg ?
"I will be able to stay only there anyway , I told her that time I will be taking that flat","mai udhar hi reh paungi anyways , I told her that time I will be taking that flat"
My wing will get empty next semester,meri wing khaali hori hai next sem
How will you do registration then?,abe toh tu registration kaise karaegi ?
Will take permission for late registration,late registration ki permission lungi
"cool, sit and cry in the corner",chal theek hai ro le tu fir baith ke side pe
We can't trust you now,tujhe trust to nahi hi kar rahe hain ab
We are getting so much cash,itna cash toh mil raha hai
"But I am in between something , and I will sleep off as soon as I reach home","But I am in between something , and room jaate hi I will sleep off"
So how did you read in a class?,itna sara kaise padha ek class me ?
My two papers are by the way,mere do hi papers hian vaise
One of which is this humanity course.,jinmein se ek is a humanities course .
This is also the first night meal treatment is your,aise bhi pehli wali dinner treat bhi baki hai aapki
Thanks for the fear dosage .,dhanyawaad for the fear dosage .
Does anyone have any notes?,kisi ke pass koi notes hai kya ?
"If you have shift reduce parser, please share",shift reduce parser ke ho to please share kar do
Saturday parents are coming,Saturday parents aa rahe hai mere
The help center was damaged and I will fix it tomorrow.,help desk bandh ho gyi thi so kal theek karvaunga
We will call one another,Call kar denge ek doosre ko .
We will surely meet again .,We will pakka se meet again .
I had to meet once but I guess there is no time now,ek bar milna tha but I guess ab time nai hai
I thought you would be busy in the exams.,muje laga tha exams mein you would be busy .
I was hoping that there will be sheet pass for attendance.,i was hoping ki attendance ke liiye sheet pass hoti ho
So now there will not be name on the list,to abi list main naam nai hoga
So have to be added separately.,so alag se add karna hoga .
Did you register first?,tune pehle register kiya tha ?
The presence of the register was today not near the sir,attendance ka register aaj tha nahin sir ke paas
You are in my project group only,aap mere hi project group main hai
Let me find out in the assignment who is watching,assignment main pata karta hun kaun dekh raha hai
You may be busy in research,tum log busy ho shayad research mein
There are quite a few duals in this group,kafi sare duals hai iss group mein
"I guess when some guys will start playing, rest will come gradually",i guess kuch log khelna start karenge toh dhere dhere sab aa jayenge
"If there is no plan for people before dinner, so you can play",dinner se pehle logo ke plans nahi hai toh tab khel sakte hai
If you plan to play message in the group,khelo toh group mai message kar denaa
Did you play the this is last semester card?,Did you play the last semester hai wala card ?
it's highly unlikely that we will get permission,it's highly unlikely ke permission mile
"If possible , let us end the semester with basketball","par agar possible ho pai , let us end the semester with basketball"
Tell me what is the scene of yours today?,tu bata aaj ka kya scene hai tera ?
"I'll book a table, you get ready until 7.30","Table book karwa doongi , tum 7.30 tak taiyaar ho jaana"
"Take a look at the cab, how much wait time it will charge.","Cab abhi dekh le , kitna wait time de raha hai ."
Later it was revealed that he was out of the campus,baad mein pata chala she's out of campus .
No will be late,nahi toh late ho jaayega
Will talk after reaching the college.,College aakar baat karti hoon .
Friday I will be really dumped,Friday ko lag jayegi meri really .
"sorry, I m just bothering you","sorry , main alag hi pareshaan kar rahi hu tujhe"
When will you come back from the photowalk?,photowalk se wapas kab tak aaenge ?
After the motivation went away,But baad mein motivation chali gayi
"Come on , I beat you at this game .","chal na , I beat you at this game ."
I am not doing download.,main nahi kar rahi download .
Do you have software assignments of the last time?,tere pass software ka assignments honge last time wale ?
I wrote a senti post tomorrow in batch group,I wrote a senti post kal batch group pe
Your batch is great,aapka batch to mahaan hai
"My brother always said that these retrospect, many problems seem small.","My brother always told me ki in retrospect , badi dikkatein chhoti lagti hain ."
"As far as you have really made peace , then there should be no regrets","kyunki if you have really made peace , then there should be no regrets"
Let me graduate the simple child in the college,College se seedha bachha thodi graduate karta tu
Yes masters was also written on mine,ha mere mein bhi masters likha hai
I do not feel that graduation date is correct,mujhe toh graduation date bhi sahi nahi lag raha
I do not know from where my mentor is.,mera mentor toh pata nahi kahaan ka hai .
You guys are going to board a flight from?,tum log kaha se flight board karne waale ho ?
Have you done any planned appointment?,kissi ne appointments schedule kiya hai kya ?
Also there is option if presently pursuing leave blank .,usmein yeh bhi option hai ke agar presently pursuing to leave blank .
But there you can mention by when it will finish.,arre but usme kab tak finish hogi woh mention kar sakte hai
There is a post on the FB group in the contact.,Contact mein fb group pe post hai .
Yes I mostly uploaded only transcript,haan sirf transcript hi upload ki thi mostly
But initially he had not to submit.,But initially woh nahi submit karna tha .
I wrote start date since perhaps that was a compulsory field in the form,"maine start date like di , since shayad woh compulsary field tha form mein ."
Friend in new hire document what did you fill in primary address?,yaar woh new hire document main primary address main kya bhara ?
I do not have transcript so I have not been able to fill the forms completely,meri transcript nahi hai so i have not been able to fill the forms completely
All of you got transcript?,tum sab ko transcripts mil gyi kya ?
"Yes there was a field in the onboarding form, for job title on the first page",ha wahi toh onboarding form mein ek field tha job title ka sabse pehle page pe
What is written in your proposal letter,jo tere offer letter mein likha hai
What to put in the job title?,job title mein kya bharna hai ?
Give that on the passport on the safe side .,Passport wala dede on the safe side .
"Friend has they given a timefreme, by when will it come?",yaar koi timeframe diya unne tujhe ki kab tak aa jaeyga ?
She denied someone else 1 week back in the same office ,usne 1 week pehle ek aur ko mana kiya tha same ke liye office main
There is no alternative except to wait,wait karne ke alawa koi option nhi hai
We can tell him that we need transcript for fees loan,unko yeh bol sakte hai ki fees ki loan ke liye chahiye transcript
"So please give, or we will not be able to pay fees",so kripa karke de de nahi toh ham fees nhi de paayenge
"Friend it is a long time down and the office people are not giving transcript, ",yaar kafi time se down hai transcript nahi de rahe issi chakkar main office wale
He has just told his date of joining the GRP,usne abhi grp pe uski join date batayi hai
So you send a request to him,toh tu bhi request bhej de usko .
And when added please answer this question,And jab add ho jaye toh is question ko answer kar diyo
There are interns all around the world,wahaan saare duniya bhar ke interns hain
Then what project were they speaking today?,phir aaj kaunsa project bol rahe the woh ?
Shall we try to cancel end sem,End sem cancel karwaane ki koshish karni hai kya
Can try but he will not agree,try kar sakte hai magar woh manega nahi
"Whenever you guys work , let me know .","Whenever you guys work , bata dena ."
After that we added log what was not in it,uske baad we added log jo us mein nahi the
Such questions were fun,aise questions fun hote the
"No, I Thought, June and May, how were eliminated","nahi na , I thought june aur may toh kaise hi eliminate hue ."
Your class is over?,Class khatam ho gayi teri ?
But because of exams my friend took time to reply .,But exams ki wajah se my friend took time to reply .
"OK all right , I will let you know some nice options soon .","chalo theek hai , I will let you know some nice options soon ."
"Make choices of the place, let us first decide dates.","jagah ke options karte hain , but pehle date decide karte hain na ."
This way so many treats have accumulated,aise toh bahut sari treats accumulate ho gyi
Hey you had given treat on the birthday.,arre tune mujhe birthday treat di thi .
It was a matter that now you should treat both of you together.,toh baat hui thi ki ab tum dono ko saath mein treat doon .
Do you people eat something other than chicken?,tum log chicken ke alawa kuch aur khaate ho ?
There are some deadlines let me tell you in a while,deadlines hain kuch wo dekh ke batati hu thodi der se
Share all the photobombs links,sare photobombs ke link share kar
You are already tagged.,tu to tagged hai hi .
The good thing is that you commented.,but achha hua tune comment kar diya .
These fun dialogues will always be remembered,ye waale fun dialogues hamesha yaad rahenge
Let me find out the air cafe lounge,air cafe lounge ka pata karta hun mein
I have come to perform!,lagega perform karne aaye hain !
Let me play the joker.,Joker hi ban jaate hain hum .
"So much pressure for getting ready , and for entertaining .","So much pressure for getting taiyaar , and for entertaining ."
If you do not come prepared well then you pay,agar tum log acche se tayyar hoke nahi aye to tum pay karna
But I only regret if you had intimated little earlier,but i ony regret ki tu thoda pehle intimate kar deti
I did not come in the secondf picture,Second picture mein hi nahi ata
that should even have the juice brother,that should even have the juice wale bhaiya
Yes it was the discussion with mam,han mam ke saath yahi discuss hua tha
Everyone said that what the question was being asked,sab yahi bole ki kya question pooch rahe hain
"Bye the way did you talk, we went to angara for dinner","waise aaj teri baat hui thi , we went to angara for dinner"
Are the brochures ready?,ready ho gaya na brochure to ?
Remember the last time we made an informal brochure?,remember last time humne informal brochure banaya tha ?
"I mean, if you are free, else it is lite","i mean agar free ho , warna lite hai"
Wanted one generalized structure,ek generalized sa structure chahiye tha
Write it and give it to me in a couple of days,likh ke ek do din mein de dena please .
"Send it to me, I will compile the entire data for the website.","mujhko bhej dena , i will compile the entire data for the website ."
First I only added the parliament members to get approval.,pehle sirf parliament waalo ko add kiya to get the approval
By the way could you brief me the purpose.,waise could you brief me the purpose
There is a spelling mistake in the end.,end mein ek spelling error hai
I also want to attend.,mereko bhi attend karni hai
My butts is dead.,meri butts marr chuki hain .
Just took the last injection.,abhi last injection liya hai .
I got a ping that he wants to leave,mere paas ek ping aya ki he wants to leave
My Bapu thought it is best not to give credit,maa bapu ne socha credit na dein to achha rahega
"In mine, the security key goes home.",mere wale mein ghar pe security key jaati hai .
My debit card never works in online transactions.,mera debit card kabhi nahi chalta online transactions mein .
Which night show do you want to go on Saturday?,saturday ko kaunsa night show jaana chahta hai ?
I am going to the night show on Sunday.,main sunday ko night show jaa rahi hoon
No camera around the water.,but paani ke aas paas camera nahi
"some have already booked their tickets , to come back , because they think the trip won't happen.","some have already booked their tickets , vaapis aane ki , because they think trip hogi nahi"
"I really hopet to go somewhere, man!",i really hope kahin to chal padein yaar !
Loitering is prohibited on the same floor.,same floor pe to ghoomna bana hai
I am also going to the cousin's house.,main bhi cousin ke ghar hi jaa rahi hoon
They didn't even give a certificate man!,certificate tak nahi mila tha yaar !
Actually all the shirts have not been sold yet.,actually shirt abhi saari sell nahi hui hain
