ENGLISH SENTENCE,GOLD STANDARD CODE-MIXED SENTENCE
Free circulation has thus become free contamination,La libre circulation est ainsi devenue une libre contamination.
In Europe we can boast excellence in many fields,"En Europe, nous pouvons nous vanter de l'excellence dans de nombreux domaines"
Thirdly how do we define integration capacity,"Troisièmement, comment définissons-nous la intégration capacity"
Only 10 goes to the benefit of living artists,10 seulement vont au profit des artistes vivants
The procedures should be simplified or at least speeded up,Les procédures devraient être simplified ou au moins accelerated
I cannot support this proposal,Je ne peux pas soutenir cette proposal
Additional Commission contribution to the IGC, Additional contribution de la Commission à la IGC
It will I hope be examined in a positive light," Il sera, je l'espère, examiné sous un positive light"
Subject Status of Kosovo, Subject statut du Kosovo
But for example the EU has a policy on islands," Mais par exemple, l'UE a une politique sur les islands"
On the contrary they were manipulated by the European institutions," Au contraire, ils ont été manipulated par les institutions européennes"
What was the precise impact of this, Quel a été l’impact précis de cela
Personally I have lost all faith," Personnellement, j'ai perdu toute faith"
This is quite frankly unacceptable in my view, C'est franchement unacceptable à mon avis
There are similar problems with the European Court of Justice, Il existe des problèmes similaires avec la European Court of Justice
This puts the entire Schengen system at risk, Cela met en danger l'ensemble du Schengen system
The honourable Member also raised the matter of Kosovo, L'honorable member a également évoqué la question du Kosovo
This does not happen in other countries, Cela n'arrive pas dans d'autres countries
What will be the suggestions for that Tampere II, Quelles seront les suggestions pour ce Tampere II
We cannot have it both ways,Nous ne pouvons pas avoir les deux ways
Reading the Commissions document stepbystep there is a clear agenda,"En lisant le document de la Commission étape par étape,il y a un agenda clair"
We must take action,Nous devons prendre action
Deception comes in many guises,La tromperie prend de nombreuses guises
The report had four or rather five points for debate, Le rapport comportait quatre ou plutôt cinq points à débattre
Both often have fatal consequences for the local food production, Les deux ont souvent des conséquences fatales pour la local food production
Many in my constituency are now almost destitute,De nombreux habitants de ma constituency sont désormais presque sans ressources
Abstaining from voting is not a solution, S'abstenir de voter n'est pas une solution
Liberalisation must be continued and the network improved, La libéralisation doit être poursuivie et le réseau amélioré
992 of my regions businesses employ fewer than 49 people, 992 des businesses de ma région emploient moins de 49 personnes
Could they not provide new life, Ne pourraient-ils pas offrir une nouvelle life
I have nothing to add to them,J'ai nothing à y ajouter.
Not technologies that individualise isolate and alienate pupils," Pas des technologies qui individualisent, isolent et aliénent les élèves"
Why though do we never talk about existing revenue options, Mais pourquoi ne parlons-nous jamais des existing revenue options?
We need to ensure protection for the most vulnerable, Nous devons assurer la protection des plus vulnérables
Mr Btikofer has voted on behalf of Mr Turmes, M. Btikofer a voté au behalf de M. Turmes
It is a fear of people from Romania and Bulgaria,C'est une peur des personnes de Romania et de Bulgaria
I hope that Parliament will approve my proposal unanimously, J'espère que le Parliament approuvera ma proposal à l'unanimité
There are two reasons for this, Il y a deux reasons à cela
The wellbeing of Europes businesses is down to employees,Le bien-être des entreprises européennes dépend des employés
It is not really possible to work in these conditions, Il n'est pas vraiment possible de travailler dans ces conditions
Who is going to have to do all the paperwork, Qui va devoir faire toute la paperwork
For years we have failed to do that,"For years, nous n'y sommes pas parvenus"
We welcome this development and will continue to support it, Nous saluons cette development et continuerons à la soutenir
For clarity is still completely lacking in this field,Pour clarity fait encore totalement défaut dans ce field
The work is to continue,Le travail doit continue
This in itself distorts competition on the internal market, Cela en soi fausse la competition sur le internal market
Therefore new opportunities and focused measures must be sought, Il faut donc rechercher de nouvelles opportunities et des focused measures
That is the purpose of our resolution today, C'est le but de notre résolution d'aujourd'hui
We will register and authorise all funds, Nous enregistrerons et autoriserons tous les funds
This Constitutional Treaty is of historic importance in many regards, Ce Constitutional Treaty revêt une importance historique à bien des égards
This motion does in truth little more than that, Cette motion ne fait en réalité guère plus que cela
This should not involve little children going to school, Cela ne devrait pas impliquer que les children aillent à l'école
But we cannot perpetuate exceptional arrangements, Mais nous ne pouvons pas perpétuer des arrangements exceptionnels
Mr President Mr Crowley thank you for your kind welcome, Monsieur le Président Monsieur Crowley merci pour votre aimable welcome
I will make three remarks, Je ferai trois remarks
Subject Sport and Alcohol Sponsorship,Subjet sponsorship de sports et d'alcool
But most people see this as unnecessary expenditure,Mais la plupart des gens considèrent cela comme un unnecessary expenditure
Mr President I voted for the Swoboda report as well," Monsieur le Président, j'ai également voté pour le Swoboda report"
We know that slave labour prevails in Burma., Nous savons que le slave labour est répandu en Birmanie.
We need concrete measures to increase peoples feelings of safety,Nous besoin concrete measures pour accroître le feelings de safety des peoples
However most stakeholders considered a recasting exercise inappropriate,Toutefois plupart des stakeholders ont considéré un recasting exercise inapproprié
Once again thank you to you all for your cooperation,Une fois encore merci à vous tous pour votre cooperation
My group fully endorses his conclusions,Mon group complètement endorses ses conclusions
They can follow either the Russian or the European model,Ils peuvent suivre either le modèle Russian ou European
This has followed the process since July,Cette mission suit le process depuis July
There are concrete projects that can be implemented rather soon,Il y a concrete projets qui peuvent être implemented assez rapidement
Perhaps it needs us to call openly for action,Peut-être il nous besoin appeler openly pour action
They must be based on structural reforms,Ils doivent être based sur structural reforms
The text gives no evaluation,Le texte ne présente aucune evaluation
This is an issue we cannot ignore,Ç'est une issue que nous ne pouvons pas ignorer
I urge Members to approach these reports pragmatically,J'invite Members à considérer ces reports pragmatically
Could the Council meet with them,Le Council pourrait-il les rencontrer
Recovery of Community funds vote,Recovery des funds Community vote
It should be fact,Il devrait être fact
There are various types of approach,Il y a various types de l'approach
The key to early agreement is political willingness to agree,La key d'un accord early est political willingness d'agréer
We must defend the true Europe the truly European Europe,Nous devons défendre la true Europe la vraiment European Europe
The integrity of European markets has to be safeguarded,L'intégrité des European markets doit être safeguarded
I think that it was perfectly natural,Je pense que c'était perfectly natural
EuroMediterranean cooperation joint debate,EuroMediterranean cooperation joint débat
Finally which Member States should be exempt from the requirement,Finalement quel Member States devrait être exempt de requirement
Therefore the Union must try harder,Donc l'Union doit intensifier ses efforts
That is the aim of Amendment No 11,C'est le aim de Amendment 11
Naturally we must also look beyond our borders,Naturellement nous devons aussi regarder au-delà nos borders
I am afraid too much time has been wasted already,J'ai peur que trop de temps est déjà perdu
I appeal for an indepth debate on this subject,Je demande pour un indepth debate sur ce sujet
My second point refers to aspartame,Mon deuxième point concerne aspartame
The next item is questions to the Council B4000198,Le next item est questions au Council B4000198
We are asking them to support the Commissions idea,Nous leur demandons de soutenir the idea de la Commission
The funds that we currently have available are not sufficient,Les funds que nous avons available actuellement ne sufficient pas
To be quite frank I think that is bad advice,Pour être frank je pense que c'est un bad advice
The export of metallic mercury should be banned,L'export de metallic mercury devrait être interdit
We have defended the agricultural reform,Nous avons défendu la agricultural reform
We must provide the population with affordable access to networks,Nous devons garantir la population avec affordable access networks
Is this rhetoric or sentimentality,Est ce rhetoric ou sentimentality
I hope that is not the case here,J'espère que ce n'est pas le case ici
These are worthy aims,Ce sont worthy aims
The Commission is aware of the weak points,La Commission est aware des weak points
I think that the answer is very straightforward,Je pense que le answer est très directe
That is why the references are there,C'est pourquoi les references sont there
In a certain way we must appreciate and respect that,In a certain way nous devons  l’apprécier et le respecter
Mr President we need stronger companies in Europe,Mr President nous avons besoin stronger companies en Europe
All these are things which directly benefit patients,All these are choses qui profitent directement aux patients
We are prepared to grant discharge under these conditions,Nous sommes prêts à grant discharge sous ces conditions
You are very concerned about certain principles in this matter,Vous êtes très concerned sur certain principles dans cette matter
Mr Hughes report goes far too far,Report de Monsieur Hughes va trop far
Mr President I have one further brief question,Mr President j'ai une further brief question
That cannot be right,That ne peut pas être right
A further issue is financing the food aid,Une further issue est financing de l’aide alimentaire
That is very good,C’est très good
I have another comment to make on innovation,J’ai une autre comment à faire sur innovation
The alternative wording refers to a flatrate basis,L'alternate wording parle de basis flatrate
Perhaps the Commission could give us this extra information,Peut-être la Commission pourrait nous donner ces extra information
We need global coordinated action and that is recognised,Nous avons besoin global coordinated action et cela est recognised
What action should therefore be taken,Quelle action faut-il therefore prendre
Now to the question raised in connection with Cape Verde,Maintenant à la question raised dans connection avec Cape Verde
This involves important sectors including buildings and transport,Cela implique des important sectors including bâtiments et transports
But they have now been overtaken by developments,Mais elles ont maintenant été dépassées by developments 
However our optimism has turned out to be premature,Toutefois notre optimism s'est avéré premature
Bitterness codecision in budgetary matters is a losing battle,Bitterness codecision dans budgetary matters est une losing bataille
We were all shocked by the attacks on Bali,Nous avons tous été shocked par les attacks on Bali
The Council in particular must change over to majority voting,Le Council en particular doit change over à majority voting
The case of Ai Weiwei in China,Le cas d'Ai Weiwei en China
We can do good,Nous pouvons faire good
I think the answer is yes,Je pense que la réponse est yes
Five countries in southern Africa have presented alternative plans,Cinq countries en southern Africa ont présenté alternative plans
There is no safe alcohol level in drivers,Il n’y a pas un safe alcohol level in drivers
We believe that Thessaloniki has been a very important step,Nous estimons que Thessaloniki a été a très importante step
However where is the analysis,Cependant où est l'analysis
There are two possible approaches to the issue of globalisation,Il y a deux possible approaches à la issue de globalisation
And unfortunately this is still not the case,Et malheureusement c'est still not le cas
What are these principles,Quels sont ces principles
We must take action,Nous devons prendre action
You have assured me of your continued interest,Vous m’avez assuré de votre continued interest
The spirit of the Buitenweg report is clear,La spirit du Buitenweg report est clair
Relatively speaking this is very good at this time,Relatively speaking c'est très bien at this time
Let us try to prevent such an occurrence,Essayons d’éviter such an occurrence
At the same time real reform is necessary,À la même temps real reform est nécessaire
How many were scrapped,Combien ont été scrapped
an antinational Europe dissolving our nations into a bureaucratic superstate,Une antinational Europe dissolving nos nations en un bureaucratic superstate
In reality it is an outrageous attack on democracy,En reality c'est une outrageous attack contre la democracy
That would be the right approach to take,Ce serait la right approach à adopter
It is the same as Parliaments,C'est la same que les Parliaments
My last point is on financing,Mon last point concerne le financing
Finally I think that the timetable is very important,Enfin je pense que le timetable est très important
It is quite a package that we have here,C'est quite un package que nous avons ici
Mr President what you have just done is very serious,Mr President ce que vous venez de faire est très serious
This market must be put on the right track,Ce market doit être mis sur la right track
All parties must abandon violence once and for all,Toutes parties doivent abandon violence une fois pour toutes
We deem participation of the countries concerned highly important,Nous estimons que la participation des countries concerned est très importante
Sufficient guarantees can be built in,Sufficient guarantees peuvent être built in
The Laeken Summit must remove the intergovernmental uncertainties of Nice,The Laeken Summit doit effacer les intergovernmental uncertainties de Nice
Let us become the voices of a new world,Devenons les voices d'un new world
I shall leave you with a maxim ladies and gentlemen,Je vous laisse avec a maxim ladies et gentlemen
Proposal for a joint resolution on human rights,Proposal de joint resolution sur les human rights
That is a problem for us,C’est un problem pour nous
The fact is that China is falling below our expectations,Le fait est que China est falling below nos attentes
Have the lessons not been learnt,Have les leçons n'ont pas été learnt
We want to listen to citizens,Nous voulons à listen à citoyens
The Communitys institutions are duty bound to do so,Les Communitys institutions ont duty de le faire
Mobility does cause certain problems,Mobility pose certain problèmes
UK Presidency no progress,UK Presidency pas de progress
Mrs Grybauskait we are not reassured,Mrs Grybauskait nous ne sommes pas reassured
But are they capable of listening,Mais sont-ils capable d’écouter
We believe that these new and extended limits are premature,Nous pensons que ces new et extended limits sont premature
Opportunities for women to find work would therefore decline,Opportunities pour les femmes de trouver du travail would therefore decline
There is a human economic and social cost to this,Il y a un human economic et social cost à cela
This is not just a declaration of intent,Il ne s’agit pas just une declaration d'intent
I consider this to be an important matter,Je considère que c’est une important matter
We think that this is very good,Nous pensons que c'est très good
The European Union itself should be a little more consistent,L’Union européenne itself devrait être un little more consistent
Leaders of opposition political movements have been imprisoned,Leaders de opposition political movements ont été imprisoned
Forests cannot be maintained without aerial spraying,Forests ne peuvent pas être maintained sans aerial spraying
We think that this is a good deal therefore,Nous pensons que c'est une good deal therefore
Slovenia is a small nation,Slovenia est une small nation
Please take these points into consideration,Please prendre ces points en consideration
That is what we must always bear in mind,C’est ce que nous devons always garder in mind
We thank the House for its consideration,Nous remercions la House pour its consideration
This answer with real content is very welcome,Cette answer avec real contenu est very welcome
Today Albania is in political crisis,Aujourd’hui Albanie est en political crisis
This can only benefit our credibility,Cela peut only profiter à notre crédibilité
A majority in this House unfortunately will not learn,A majority dans cette House unfortunately n'apprendra pas
Look at the fear,Regardez la fear
It is not an option it is mandatory,Ce n’est pas une option c’est mandatory
Madam President I understand the sensitivity of this issue,Madam President je comprends le sensitivity de cette issue
I will end with a final word to Mr Leinen,Je terminerai avec un final word à Mr Leinen
Of course we support the Statute,Of course nous soutenons le Statute
