ENGLISH SENTENCE,GOLD STANDARD CODE-MIXED SENTENCE
We support the draft budget put forward by Mr Surjn,Apoyamos el draft budget presentado por el Sr. Surjn.
I have learned a great deal throughout this process,He aprendido mucho during este process.
We will not do so if we undermine personal rights,No lo haremos si menoscabamos los rights personales.
This fact is slowly being accepted by the Member States,Los Member States están aceptando poco a poco este fact.
In the short term skills increase both productivity and mobility,"A corto plazo, las skills aumentan tanto la productividad y mobility."
The Council is virtually unknown as an institution,El Council es prácticamente desconocido como institution.
We have chosen to vote against the report,Hemos decidido votar en contra del report.
The timing is doubly bad,El timing es doblemente malo.
We think that is very good,Creemos que es very bueno.
That is why the mountains need overall general measures,Por eso las mountains necesitan medidas generales overall.
A major question remains unanswered however,"However, hay una pregunta importante que sigue sin answer. "
These subjects are worthy of serious debate,Estos temas son dignos de un debate serious.
You accept the United States chemical and not winemaking practices,Aceptas el producto químico de United States y no las winemaking practices.
In todays Europe such attitudes are unacceptable and dangerous,"En la Europa de hoy, estas attitudes son inaceptables y dangerous. "
Inaction is a crime against humanity,La inacción es un crime against la humanidad.
The Stability Pact is a given in Europe,El Pacto de stability es un hecho en Europe.
Mr Camre I cannot agree with you,Sr. Camre no puedo estar de acuerdo with you.
Therefore we should be confident about its administration,"Therefore, debemos confiar en su administration."
The regulations are clear and should be enforced,La regulations es clara y debe aplicarse.
They have the local knowledge,Tienen los local knowledge.
European Council in Florence,Council Europeo de Florencia.
So let us talk about integration capacity,Hablemos de capacity de integration.
He was a Jat from a village called Sultan,Era un Jat de un village llamado Sultan
She wrote in simple but forceful and elegant style,Escribió en un estilo sencillo pero forceful y elegant
well some people say we are borrowing a 1,well algunos dicen que nos prestan un 1
and big eyed houris,y big eyed houris
There is no bar on the quantity,No hay límite de quantity.
Cattle always love to have a variety in their food,Al ganado always le gusta comer variado
Grant of money from government as assistance,Concesión de dinero del government como ayuda
The amount of exports undertaken influences prices significantly,El amount de las exportaciones realizadas influye notablemente en los prices.
Use of micrographics solves problems of preservation and distribution,El uso de la micrografía solves los problems de conservación y distribución
The turgor movement phenomenon was observed in the mimosa leaves,El fenómeno de movimiento de turgor se observó en las leaves de mimosa.
Which has been acquired retained for trading purpose,Que ha sido adquirida retained con fines comerciales.
He called the pH as hydrogen ion exponent,Llamó al pH como exponente del hydrogen ion.
And I m not a sales person,Y no soy un salesperson.
Varuna has but a thousand eyes,Varuna sólo tiene mil ojos.
It had a very chequered history in our Constitution,En nuestra Constitution ha tenido una historia muy chequered.
To please the mind or to charm someone,Complacer la mind o encantar a someone.
Thus Ananda who would convert others is himself converted,"Thus, Ananda, que quiere convertir a others, se convierte a sí mismo."
These call for urgent individual as well as collective introspection,"Esto call for una introspección urgente, tanto individual como colectiva."
Please tell the interest accrued but not due amount,"Please, digame los intereses devengados pero no el due amount."
If you are still confused let me know,Si todavía estás confused házmelo saber.
How to set up HACCP for your business,Cómo implantar el sistema HACCP en tu empresa?
She began to cry at the sight of his face,Empezó a llorar al verle la face.
Life Iswarchandra soon distinguished himself as a meritorious student,Iswarchandra pronto se distinguió como un estudiante meritorio
something times x plus something,algo por x más algo
Glycerin is filled after removing the moisture from the flowers,Se llena glicerina después de eliminar la humedad de las flores
Program does not have execution permission,El programa no tiene permiso de ejecución
You are on the wrong train,Estás en el tren equivocado
Did he not make their plot go astray?,No hizo que su trama se desviara?
Addendum was done to certain documents,Se realizó un adendum a ciertos documentos
Certificate in Computer Programming,Certificado en Programación de Computadoras
Plants and Living creatures,Plantas y Criaturas Vivas
The Swadeshi movement was little more than a memory,El movimiento Swadeshi era poco más que un recuerdo
Tension drove her heart up into her mouth,La tension le llevó el corazón a la mouth.
Reply to the mailing list or to all recipients,Responder a la lista de mail o a todos los recipients.
It will create overall harmony between body and mind,Creará una harmony general entre el cuerpo y la mind.
MY DEFENSE MECHANISM IS RIGHT HERE, Mi mecanismo de defense está justo aquí.
Which way do we go Sheriff,"¿Qué way tomamos, Sheriff?"
You would knowingly sacrifice all those lives,Sacrificarías todas esas lifes a sabiendas.
Are you one of Emily's friends,¿Eres uno de los friends de Emily?
There will come a day when the walls that surround Corona are threatened by malfeasance,Llegará un día en que los muros que rodean a Corona se vean amenazados por la malfeasance.
I just took the key from the wall and gave him a room,Simplemente tomé la llave de la wall y le di una room.
Your precious treasure was almost lost and with it my fortune,Tu precious tesoro estuvo a punto de perderse y con él mi fortune.
You just assumed that the door was locked,Asumiste que la door estaba locked.
We will find you a room,Te encontraremos una room.
I am sorry boys but I can't lead you this time,"Lo siento chicos, pero no puedo lead you esta vez."
The plan was to just nod my head ,El plan era simplemente nod con la cabeza.
Corporations tend to keep track of their holdings,Las corporations suelen llevar un registro de sus holdings.
I have got this completely under control,Lo tengo todo under control.
So we can read her emails. So what?,So podemos leer sus emails. ¿Y qué?
It is a good sign,Es una buena signal.
I need a different glass,Necesito otro glass.
"Siddhu, those guys hit me","Siddhu, those chicos me golpearon. "
You have 48 hours to terminate both targets,Tiene 48 hours para eliminar both objetivos.
Miller hasn't sent much but what she has is very promising.,"Miller no ha enviado much, pero lo que tiene es muy promising."
"Yes, all three members of Vortex were there that day","Sí, los tres members de Vortex estaban allí ese day."
At this moment they think that they can safely leave this site,En este moment piensan que pueden abandonar este site con seguridad
The Japs deliberately target the wounded,Los japs atacan deliberately a los heridos.
I could help him with my toys,Podría ayudarle con mis toys.
"Put it in, be careful careful","Mételo, con care"
kids in the car,niños en el car.
"You need to work on your delivery, alright","Necesitas trabajar en tu delivery, ¿vale?"
Mom come on let it go,Mamá come on déjalo ir.
This is the witch who works for Vortex,Esta es la witch que trabaja para Vortex.
You have one new message,Tienes un new mensaje.
Today is your lucky day because I just happen to be here,Hoy es tu día de luck porque casualmente estoy here.
Who are you calling a cripple?,¿A quién llamas cripple?
You trying to go to math class,¿Estás tratando de ir a class de matemáticas.
"You have got a psychosomatic limp, of course you have got a therapist","Tienes una limp psicosomática, por supuesto, tienes un terapeuta."
I got a letter,Recibí una letter.
Just until you get your view,Sólo hasta que tengas tu view.
I congratulate the rapporteur on his excellent work,Felicito al rapporteur por su excelente trabajo.
"Mr President, I give you a present of three seconds","Señor Presidente, le regalo tres seconds."
These are my introductory remarks,Estos son mis remarks introductorios. 
Safety must be assured,La safety debe estar garantizada.
I would ask you Chris Patten to take the floor,Me gustaría pedirle Chris Patten a take la palabra
I think not Commissioner,"No lo creo, Commissioner"
This has nothing to do with deregulation liberalisation or privatisation,Esto no tiene nada que ver con la liberalisation de la deregulation o la privitisation
The many proposals and good intentions must lead to action,Las muchas proposals y buenas intentions deben llevar a la action
This means that we need a pressure instrument,Esto significa que necesitamos un instrument de pressure
The work programme lamentably perpetuates this general trend,El work programme lamentablemente perpetúa este general trend
The problems with fishmeal lie elsewhere,Los problems con la harina de pescado están en otro lado
You mentioned visitors but the visitors have been informed,Mencionaste visitors pero los visitors han sido informados
This is completely unnecessary,Esto es completamente unnecessary
That decision should be based on other considerations,Esa decision debe estar basada en otras considerations
Moses said O my Lord enlarge my breast,"Moisés dijo O mi Lord, ensancha mi breast"
Indeed successful is the one who made it pure,De hecho successful es el que lo hizo puro
I m not telling you that story,No te voy a contar esa story
You do not have permission to write to selected directory,No tienes permiso para escribir en el selected directory
The bathrooms are located on the second and third floors,Los bathrooms están en el segundo y tercer floor
"He started Priyamvada, a monthly, from August 1885",Él empezó Priyamvada un monthly desde August 1885
Our space programme has been actively promoting 227 international cooperation,Nuestro space program ha estado promoviendo actively 227 international cooperations
What the honey bee does it pollinates,Lo que hace la bee es polinizar
You should be duty bound for hard work and sacrifice,Debes estar obligado por el duty para el hard work y el sacrifice
Play sound when a new message arrives,Play sound cuando llega un nuevo mensaje
My world is subjective,Mi world es subjective
What other properties of language does the script show,¿Qué otras propiedades del lenguaje muestra el script?
The thief broke the window,El ladrón broke la window
Write the changes to the storage devices and configure RAID,Escribe los cambios en los storage devices y configura RAID
humans destroyed the commons that they depended on,Los humans destruyeron los commons de los que dependían
He is expert in page fixing,Es expert en arreglar pages
The birds are therefore highly beneficial to man,Los birds son por lo tanto muy beneficiales para el man
Osmotic pressure causes the height of the water,La osmotic pressure causa la altura del water
It is what people do sometimes when they are excited or pumped up,es lo que la gente hace a veces cuando están excited o animated
LT RUSSEL PHIL PHILLIPS SURVIVED THE WAR AND MARRIED HIS SWEETHEART CECY,LT RUSSEL PHIL PHILLIPS survived la war y se casó con su girlfriend CECY
Tonight let us shake this cave,Esta night vamos a sacudir esta cave
My dear boy I have made a terrible mistake,"Mi querido niño, he hecho un terrible mistake"
I have to stabilize the car okay,Tengo que estabilizar el carro okay
I thought maybe I would run to the end of town,Pensé que a lo mejor yo correría hasta el end del town
Give me my bag back,Dame mi bag de regreso
She moved those trees with her mind,Ella movió esos trees con su mind
It looks like she might have run into a thorn bush out there,Parece que se metió en un matorral de thorns allá afuera
Well I think its very nice,Bueno yo creo que es muy nice
New numberation will come,Va a venir new numbering
Take care of your health,Cuida tu health
Brothers we are one hour to land on Earth,Brothers estamos a una hora de landing en la Earth
I am glad you are back at the compound,Me alegro que estés de vuelta en el compound
That video is embarrassing,Ese video es embarrassing
Everything was to your satisfaction,Todo estuvo a tu satisfaction
Now they play Vegas Fifty shows a day in 52 separate venues,Ahora juegan Vegas Fifty shows al día en 52 venues separados
Free India does't permit a person to write letters,La India libre no permite que una persona write letters
Here comes the sledgehammer,Aquí viene el sledgehammer
Stark you know that is a oneway trip,"Stark, tú sabes que eso es un one-way trip"
I don't think that this is the Dothraki way,No creo que este sea el Dothraki way
Everything we see is in a constant state of vibration thus the illusion of solidity,"Todo lo que vemos está en un estado constante de vibration, por lo tanto la illusion de solidez"
What was her name,¿Cómo se llamaba?
He created a test of empathy imagination,Creó un empathy imagination test
Lord Caldlow will be very pleased,Lord Caldlow va estar muy happy
All these amounts relate to years before 2000,Todas estas quantities se relacionan con years antes de 2000
I particularly welcome two important features of this agreement,Particularly welcome dos importantes features de este agreement
It is not a feminist issue either,Tampoco es un asunto feminist
Today we have adopted a resolution on the matter,Hoy hemos adoptado una resolution sobre el asunto
We simply have to bear in mind the timeframe involved,Simplemente tenemos que tener en mind el timeframe involved
The current situation cannot continue,La current situation no puede seguir así
Why pursue this extreme notion of multibranding,¿Por qué pursue esta extreme notion de multibranding?
The vote will take place today at 5 pm,La votación va a ser hoy a las 5 pm
This means that reforms are necessary in every case,Esto significa que reforms son necesarias en cada case
These are the violations of the laws involved,Estas son las violations de las laws involved
Twelve years ago we stopped at the gates of Baghdad,Hace twelve years paramos en las doors de Baghdad
I did not ask for more time,No pedí más time
We should prioritize energy saving environmentally friendly sustainable means of transport,"Deberíamos prioritize medios de transporte sustainable, ecological y que ahorren energy"
On the one hand there are positive elements,Por un lado hay positive elements
The northern gas supply route from Russia is important,La gas supply route del north de Russia es importante
"Secondly Mr Brok, the Copenhagen criteria are of course valid",Segundo Mr Brok los Copenhagen criteria son por supuesto válidos
It is outsourced to the Church and charities,Se outsoursea a la Church y a las charities
China has growing ambitions on the international stage,China tiene growing ambitions en el international stage
,
,
"even if they hate him now, he will forever be my baby","aunque lo odien ahora , he will forever be my baby"
user Happy Birthday !! Dear Fashion stylist !!,user Happy Birthday !! Querida Fashion stylist !!
Purses that make you fall in love  * NEW ITEMS which is your favorite? ,Carteritas que enamoran  * NEW ITEMS cuál es tu favorita ? 
"Today's vlog, little jet lags: FIRST REHEARSALS FOR THE CMF ","El vlog de hoy , pequeños jet lags : PRIMEROS ENSAYOS PARA EL CMF "
My beautiful little girl! Thanks sandyc1067 I adore you ,Mi chiquita hermosa ! Thanks sandyc1067 te Adoro 
fuck it . the dbq essay is done ima sleep ,fuck it .  el dbq essay se quedo ima sleep
that's cool,qué cool
"I heard a saying k "" while the man hides his lover, the woman presents him as a friend? "" Is it true  lol","I heard a saying k "" mientras el hombre esconde a su amante , la mujer lo presenta como amigo ? "" Sera sierto  lol"
Idk how ppl can go to the club every weekend yo if I go it's once every two months if I even feel like it hahaha,Idk how ppl can go too the club every weekend yo si voy es una vez cada dos meses si esque me animo jajaja .
1. That they accept me at the milby 2. That they gave me a shot and I was dying & 3. That I just fell from the roof lol,que they accept me en la milby 2.que medieron una shot and me andaba muriendo & 3.que me acabo de caer del techo lol
"When you walk straight into the kitchen to eat & your mom hits you with the "" ya saludaste "" ","When u walk straight into the kitchen to eat & ur mom hits u with the "" ya saludaste "" "
These are my favorite pictures of my whole life and it doesn't matter that they were in January 2013 i can always relate ,Estas son mis fotos favoritas de toda mi vida y no importa que hayan sido en enero del 2013 i can always relate 
Simple Things//Miguel * my new obsession *,Simple Things//Miguel * mi nueva obsecion *
MY FAVORITE DWARF TURNS 18 TODAY !! Happy Birthdayyy boo ! ,MI ENANA FAVORITA CUMPLE HOY 18 !! Happy Birthdayyy boo !
Relax with my <user> in hand and with my official cap.,Relax con mi <user> en mano y con mi gorra oficial .
Less is more ALWAYS! Print Dress Now available in our store,Relax with my <user> in hand and with my official cap. 
Keep myself from: Stop. I can't keep myself from eating sweets.,Keep myself from : Dejar de . I can n't keep myself from eating sweets .
And we continue day ,Y seguimos día 
<user> is mega cute ,<user> esta mega cute 
"""<user> : And in other news, tomorrow is Monday and I work booo ” we are two, what a HORROR. The road sucks","“ <user> : Y en otras noticias , mañana es lunes y yo trabajo buuu ” somos dos , que HORROR . El camino sucks"
"If you lie to me once, trust is broken, you don't have a minute of break.","Si me mientes una vez se jodio la confianza , no tienes ni un minuto de break ."
Half an hour for the new video on YellowMellow ,Media horita para el nuevo vídeo en YellowMellow 
Rationing but fucking 5 days. It's one day yes and one day no.,Racionamiento pero fucking 5 dias . Es un dia si y uno no .
Good day !  Today I'm going to rest and celebrate my birthday with the family ! ,Good day !  Hoy voy a descansar y a celebrar el cumple con la family ! 
"I'm a bit stopped because I'm rehearsing the Zombers concert! But don't worry, the Civil War rap counts for 10!! ",Estoy un pelin parado porque ando ensayando el concierto Zombers ! Pero tranquilos que el rap de Civil War cuenta por 10 !! 
"I got my purple shoes! What a surprise, right! Omg they are beautiful!",Conseguí mis Zapatos violetas ! Q sorpresa verdad ! Omg son bellos !
That's pocket money you're talking about lol, Eso es pocket money de que ustedes hablan jajaja
omfg yes and you're like why do you pay for one if you don't answer hate that shit,omfg yes and ur like why do u pay for one si no contestas hate that shit
me too to see if I see you! Because I don't remember seeing you all last summer!,me tooo aver si si lo veo ! Cause i dint remember seeing you all last summer !
I'm crazy because the prom is over to cut my hair short,Estoy loca por que pase el prom para cortarme el pelo cortito
Eating shit with balls to do this paper,Comiendo mierda con cojones para hacer this paper
I hate when people talk shit because I drink if they only knew that their children are the same or worse,Odio cuando la people habla mierda because bebo si supieran que sus hijos son iguales o peores
"all offended lol, what class do you have?","todas ofendida lol , que class tienes ?"
We are getting close to half a million ,Ya nos vamos acercando al medio millón
I liked a video by <user> of <user>,Me ha gustado un vídeo by<user> de <user>
Getting ready for the weekend! #season2015 , Alistandonos para el fin de semana ! #temporada2015 
hahahaha but she thinks it's actually nude and delete it if someone else sees it: c make me strip so I can have yours,hahahaha but she think its an actually nude  y borala que si la ven alguien mas : c asme strip para tener yo tuyas 
Raúl motivated me to submit my writings to a magazine ,Raúl me motivó a entregar mis escritos a una magazine 
"haha spensa  , which one is the queen of the south ? Lol that's a good one ","haha spensa , cual la reina del sur ? Lol esa esta buena "
":) is a phrase that I use sorry I didn't explain it to say that they really don't speak fast, we train the ear with audio ",":) es una frase q yo uso sorry no la expliqué para decir q de verdad ellos no hablan rápido , nosotros entrenamos el oído con audio "
,
today starts my birthweek ,hoy empieza mi birthweek 
Life is a bitch because here there is no glory without victory or victory without war. NEW RAP PLAY COMING SOON!,La vida es perra ya que aquí no existe gloria sin victoria ni victoria sin la guerra . NUEVO RAP PLAY PROXIMAMENTE !
"Girl, what. The best way to start a day is with an intense cacophony. ",Nena queee . El best way to start a day es con un cacoteo intenso . 
I went on a trip to Miami but I'm back now lmao haha jk and also we're busy women lmao,esque me fui de viaje a miami pero ya regresee lmao jaja jk y tambien esque somos mujeres ocupadas lmao
Eating shit with balls to do this paper,Comiendo mierda con cojones para hacer este paper
 put on one of those hats that are like an umbrella hahaha,ponte un gorrito de esos que son como una sombrilla hahaha
I want Panda Express ,quiero Panda Express
I'm going to Los Cavasos too jajaja lmao I'll bring you tacos and other shit too lmao,imma go too los cavasos tho jajaja lmao i 'll bring u tacos nd other shit too lmao
Less is more ALWAYS! Print Dress Now available in our store,Less is more ALWAYS ! Print Dress Ya disponible en nuestra tienda 
I hate when people talk shit because I drink if they only knew that their children are the same or worse,I hate when people talk shit cuzs I drink si supieran ke sus hijos tan igual oh piores ha
"Why leave the best network, coverage, and flexibility of plans, William? With Verizon you can have it all.","Por qué dejar la mejor red , cobertura , y flexibilidad de planes , William ? Con Verizon usted lo puede tener todo . "
Of course Miss Zomber will appear in the video clip! She's even the main character!,Claro que aparecerá la señorita Zomber en el videoclip ! Es más es la protagonista !
"haha spensa, which one is the queen of the south? Lol that's a good one "," haha spensa, cual la reina del sur? Lol esa esta buena"
